date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-09-26,sh.601577,9.5900,11.5100,9.5900,11.5100,7.9900,866034,9944051.0000,3,0.253111,1,44.055070,1.521444,9.485947,3.107398,4.524536,0,
2018-09-27,sh.601577,12.6600,12.6600,11.2100,11.9800,11.5100,169198617,2008701634.0000,3,49.450814,1,4.083400,1.583571,9.873296,3.234286,4.709291,0,4.08340573414423
2018-09-28,sh.601577,11.6000,11.7200,11.3200,11.3400,11.9800,91617412,1055070134.0000,3,26.776552,1,-5.342232,1.498973,9.345841,3.061503,4.457710,0,-5.342237061769617
2018-10-08,sh.601577,11.0000,11.0700,10.2200,10.3000,11.3400,76031371,807128854.0000,3,22.221300,1,-9.171076,1.361501,8.488727,2.780730,4.048890,0,-9.171075837742492
2018-10-09,sh.601577,10.2800,10.3400,9.9300,10.2100,10.3000,60547423,613462773.0000,3,17.695885,1,-0.873788,1.349604,8.414554,2.756432,4.013511,0,-0.8737864077669855
2018-10-10,sh.601577,10.1600,10.2400,9.9700,10.0300,10.2100,39525598,398399024.0000,3,11.551944,1,-1.762980,1.325811,8.266207,2.707837,3.942754,0,-1.7629774730656411
2018-10-11,sh.601577,9.5900,9.7300,9.0300,9.0600,10.0300,63774926,597049498.0000,3,18.639171,1,-9.670980,1.197592,7.466783,2.445962,3.561451,0,-9.67098703888334
2018-10-12,sh.601577,9.0100,9.7900,9.0000,9.5800,9.0600,85263744,811218969.0000,3,24.919598,1,5.739509,1.266328,7.895340,2.586349,3.765861,0,5.739514348785857
2018-10-15,sh.601577,9.4100,9.4800,9.1600,9.2500,9.5800,49549652,460655346.0000,3,14.481623,1,-3.444676,1.222707,7.623372,2.497257,3.636139,0,-3.4446764091858095
2018-10-16,sh.601577,9.2300,9.4000,9.0600,9.1400,9.2500,37252263,343148391.0000,3,10.887528,1,-1.189186,1.208167,7.532715,2.467560,3.592898,0,-1.1891891891891881
2018-10-17,sh.601577,9.2900,9.3400,8.7800,9.0000,9.1400,47393609,428196637.0000,3,13.851487,1,-1.531732,1.189661,7.417334,2.429764,3.537865,0,-1.5317286652078876
2018-10-18,sh.601577,8.8100,8.8500,8.6000,8.6200,9.0000,37093281,323164188.0000,3,10.841063,1,-4.222224,1.139431,7.104158,2.327174,3.388488,0,-4.222222222222227
2018-10-19,sh.601577,8.4300,8.8800,8.3900,8.8300,8.6200,44664833,387792287.0000,3,13.053962,1,2.436195,1.167190,7.277229,2.383868,3.471039,0,2.436194895591659
2018-10-22,sh.601577,8.8300,9.5700,8.8100,9.3700,8.8300,73275745,677798693.0000,3,21.415927,1,6.115515,1.238569,7.498906,2.400884,3.683311,0,6.11551528878822
2018-10-23,sh.601577,9.3000,9.3000,8.9700,8.9900,9.3700,49882361,454231517.0000,3,14.578862,1,-4.055498,1.188339,7.194788,2.303516,3.533934,0,-4.055496264674485
2018-10-24,sh.601577,8.9300,9.8900,8.9100,9.4300,8.9900,95510811,906289323.0000,3,27.914456,1,4.894333,1.246500,7.546924,2.416258,3.706896,0,4.894327030033363
2018-10-25,sh.601577,9.0400,9.7200,9.0200,9.6000,9.4300,69486568,647024731.0000,3,20.308483,1,1.802758,1.268972,7.682977,2.459817,3.773723,0,1.8027571580063517
2018-10-26,sh.601577,9.6000,9.6600,9.3400,9.4200,9.6000,44683659,423313028.0000,3,13.059464,1,-1.875003,1.245179,7.538921,2.413696,3.702965,0,-1.8749999999999933
2018-10-29,sh.601577,9.4000,9.5100,9.0000,9.0900,9.4200,40271983,369737495.0000,3,11.770086,1,-3.503184,1.201558,7.274819,2.329139,3.573244,0,-3.5031847133757954
2018-10-30,sh.601577,9.0900,9.7400,9.0900,9.4500,9.0900,68508627,644784396.0000,3,20.022666,1,3.960392,1.080708,7.562930,2.421383,15.451994,0,3.960396039603964
2018-10-31,sh.601577,9.4500,10.2800,9.3100,9.8600,9.4500,92882503,910330385.0000,3,27.146294,1,4.338623,1.127596,7.891058,2.526437,16.122398,0,4.338624338624331
2018-11-01,sh.601577,9.7500,10.0700,9.7200,9.7200,9.8600,63568941,625747643.0000,3,18.578969,1,-1.419872,1.111586,7.779014,2.490565,15.893479,0,-1.4198782961460377
2018-11-02,sh.601577,9.9500,10.1200,9.7100,9.9200,9.7200,68253216,676187665.0000,3,19.948018,1,2.057611,1.134458,7.939076,2.541811,16.220505,0,2.0576131687242816
2018-11-05,sh.601577,9.8900,10.1800,9.7800,10.0000,9.9200,55532953,553506844.0000,3,16.230332,1,0.806451,1.143607,8.003101,2.562310,16.351316,0,0.8064516129032251
2018-11-06,sh.601577,9.9100,9.9800,9.6500,9.8000,10.0000,42152812,411161687.0000,3,12.319787,1,-1.999998,1.120735,7.843039,2.511064,16.024290,0,-1.9999999999999907
2018-11-07,sh.601577,9.7700,9.8300,9.6200,9.6300,9.8000,34951492,339455151.0000,3,10.215094,1,-1.734695,1.101293,7.706986,2.467504,15.746317,0,-1.734693877551019
2018-11-08,sh.601577,9.7200,9.8200,9.5800,9.6100,9.6300,31470906,305332501.0000,3,9.197841,1,-0.207689,1.099006,7.690980,2.462380,15.713615,0,-0.20768431983386737
